attributes,Id,LastModifiedBy,MemberIdOrName,MemberType,MemberName,RevisionNum,RevisionCounter,IsNameObsolete,LastModifiedById,IsNewMember,ChangedBy
"{'type': 'SourceMember', 'url': '/services/data/v60.0/tooling/sobjects/SourceMember/0MZ6t0000055ti0GAA'}",0MZ6t0000055ti0GAA,"{'attributes': {'type': 'User', 'url': '/services/data/v60.0/tooling/sobjects/User/0055e000006hNmLAAU'}, 'Name': 'Satish Hale'}",01p6t000003YBN7AAO,ApexClass,APM_AccountPlanInitiativeTriggerTest,,11615,False,0055e000006hNmLAAU,False,0055e000006hNmL
"{'type': 'SourceMember', 'url': '/services/data/v60.0/tooling/sobjects/SourceMember/0MZ6t0000055ti1GAA'}",0MZ6t0000055ti1GAA,"{'attributes': {'type': 'User', 'url': '/services/data/v60.0/tooling/sobjects/User/0055e000006hNmLAAU'}, 'Name': 'Satish Hale'}",01p5e00000avgscAAA,ApexClass,APM_AccountPlanInitiative_IBusinessLayer,,11616,False,0055e000006hNmLAAU,False,0055e000006hNmL
"{'type': 'SourceMember', 'url': '/services/data/v60.0/tooling/sobjects/SourceMember/0MZ6t0000055ti4GAA'}",0MZ6t0000055ti4GAA,"{'attributes': {'type': 'User', 'url': '/services/data/v60.0/tooling/sobjects/User/0055e000006hNmLAAU'}, 'Name': 'Satish Hale'}",01p5e00000YuxxiAAB,ApexClass,APM_AccountTeamMemberTriggerHandler,,11619,False,0055e000006hNmLAAU,False,0055e000006hNmL
"{'type': 'SourceMember', 'url': '/services/data/v60.0/tooling/sobjects/SourceMember/0MZ6t0000055ti5GAA'}",0MZ6t0000055ti5GAA,"{'attributes': {'type': 'User', 'url': '/services/data/v60.0/tooling/sobjects/User/0055e000006hNmLAAU'}, 'Name': 'Satish Hale'}",01p5e00000b9vmHAAQ,ApexClass,APM_AccountTeamMemberTriggerHandlerTest,,11620,False,0055e000006hNmLAAU,False,0055e000006hNmL
"{'type': 'SourceMember', 'url': '/services/data/v60.0/tooling/sobjects/SourceMember/0MZ6t0000055tiFGAQ'}",0MZ6t0000055tiFGAQ,"{'attributes': {'type': 'User', 'url': '/services/data/v60.0/tooling/sobjects/User/0055e000006hNmLAAU'}, 'Name': 'Satish Hale'}",01p5e00000b9vmJAAQ,ApexClass,APM_CommonWrapper,,11630,False,0055e000006hNmLAAU,False,0055e000006hNmL
"{'type': 'SourceMember', 'url': '/services/data/v60.0/tooling/sobjects/SourceMember/0MZ6t0000055tiGGAQ'}",0MZ6t0000055tiGGAQ,"{'attributes': {'type': 'User', 'url': '/services/data/v60.0/tooling/sobjects/User/0055e000006hNmLAAU'}, 'Name': 'Satish Hale'}",01p5e00000YuxxrAAB,ApexClass,APM_CustomRelatedListController,,11631,False,0055e000006hNmLAAU,False,0055e000006hNmL
"{'type': 'SourceMember', 'url': '/services/data/v60.0/tooling/sobjects/SourceMember/0MZ6t0000055tiHGAQ'}",0MZ6t0000055tiHGAQ,"{'attributes': {'type': 'User', 'url': '/services/data/v60.0/tooling/sobjects/User/0055e000006hNmLAAU'}, 'Name': 'Satish Hale'}",01p5e00000YuxxsAAB,ApexClass,APM_CustomRelatedListControllerTest,,11632,False,0055e000006hNmLAAU,False,0055e000006hNmL
"{'type': 'SourceMember', 'url': '/services/data/v60.0/tooling/sobjects/SourceMember/0MZ6t0000055tiKGAQ'}",0MZ6t0000055tiKGAQ,"{'attributes': {'type': 'User', 'url': '/services/data/v60.0/tooling/sobjects/User/0055e000006hNmLAAU'}, 'Name': 'Satish Hale'}",01p5e00000YuxxtAAB,ApexClass,APM_GenericShareHandler,,11635,False,0055e000006hNmLAAU,False,0055e000006hNmL
"{'type': 'SourceMember', 'url': '/services/data/v60.0/tooling/sobjects/SourceMember/0MZ6t0000055tiMGAQ'}",0MZ6t0000055tiMGAQ,"{'attributes': {'type': 'User', 'url': '/services/data/v60.0/tooling/sobjects/User/0055e000006hNmLAAU'}, 'Name': 'Satish Hale'}",01p5e00000YuxxvAAB,ApexClass,APM_GenericShare_IBusinessLayer,,11637,False,0055e000006hNmLAAU,False,0055e000006hNmL
"{'type': 'SourceMember', 'url': '/services/data/v60.0/tooling/sobjects/SourceMember/0MZ6t0000055tiNGAQ'}",0MZ6t0000055tiNGAQ,"{'attributes': {'type': 'User', 'url': '/services/data/v60.0/tooling/sobjects/User/0055e000006hNmLAAU'}, 'Name': 'Satish Hale'}",01p5e00000YuxxwAAB,ApexClass,APM_GenericShare_Queueable,,11638,False,0055e000006hNmLAAU,False,0055e000006hNmL
